Activity,Task,Subtask,Condition,Type of Subtask,Interaction,Persona,Technique
Plan Business Analysis,Plan Approach and Method,Define Approach,Defined requirements,Predictive,Audit processes,Regulator,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Defined requirements,Predictive,Audit processes,Regulator,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide needs,Sponsor,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure policy compliance,Sponsor,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Define objectives,Sponsor,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Ensure compatibility,Manager,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Determine realism,Manager,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Be available,Domain SME,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,Stable environment,Predictive,Provide input,Domain SME,Brainstorming
